RowName,RA,DEC,DistanceInPC,Name,Magnitude,Color
RiftCrown,0.45,62.0,88.0,Rift Crown,-0.4,"(R=0.48,G=0.68,B=1.0,A=1.0)"
PelagosBeacon,1.82,24.0,54.0,Pelagos Beacon,0.1,"(R=0.72,G=0.86,B=1.0,A=1.0)"
GinnosPrime,3.25,-18.0,41.0,Ginnos Prime,-0.7,"(R=0.92,G=0.96,B=1.0,A=1.0)"
AshenNeedle,4.88,8.0,130.0,Ashen Needle,1.2,"(R=1.0,G=0.54,B=0.26,A=1.0)"
VioletReliquary,6.40,-44.0,112.0,Violet Reliquary,0.6,"(R=0.66,G=0.42,B=1.0,A=1.0)"
ThalassicGate,7.95,36.0,76.0,Thalassic Gate,0.4,"(R=0.34,G=0.82,B=1.0,A=1.0)"
EmberMarch,9.10,-5.0,98.0,Ember March,0.8,"(R=1.0,G=0.42,B=0.16,A=1.0)"
HollowLantern,10.72,71.0,162.0,Hollow Lantern,1.5,"(R=0.78,G=0.64,B=1.0,A=1.0)"
IridescentWake,12.05,-63.0,67.0,Iridescent Wake,0.3,"(R=0.42,G=1.0,B=0.91,A=1.0)"
BlackglassWatch,13.44,17.0,146.0,Blackglass Watch,1.4,"(R=0.58,G=0.66,B=0.78,A=1.0)"
AuricMaw,14.96,-29.0,84.0,Auric Maw,0.2,"(R=1.0,G=0.73,B=0.31,A=1.0)"
SilentChoir,16.33,49.0,124.0,Silent Choir,1.0,"(R=0.58,G=0.76,B=1.0,A=1.0)"
FrostWarden,17.80,-12.0,72.0,Frost Warden,0.5,"(R=0.76,G=0.92,B=1.0,A=1.0)"
CopperVeil,19.12,33.0,108.0,Copper Veil,0.9,"(R=1.0,G=0.57,B=0.32,A=1.0)"
BlueSepulcher,20.67,-52.0,61.0,Blue Sepulcher,-0.1,"(R=0.38,G=0.62,B=1.0,A=1.0)"
LastPilgrim,22.18,11.0,139.0,Last Pilgrim,1.3,"(R=0.88,G=0.80,B=1.0,A=1.0)"
RiftCrownMinor,23.51,-34.0,103.0,Rift Crown Minor,0.7,"(R=0.50,G=0.72,B=1.0,A=1.0)"
