Name,AssetId,Title,Category,Status,ProductionReady,ImplementationProfile,CompanionTo,SupersededBy,BlockingConflictCount,PendingCheckCount,SourceSheet,Manifest,UnrealDestination,BlenderCollection
GGP_Character_PressureSuit_BodyProfileClearance_ReferenceV1,GGP.Character.PressureSuit.BodyProfileClearance.ReferenceV1,GGP-01 Suit Body Profile and Clearance Matrix,character,technical-review,false,expanded,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,,0,3,docs/concept-art/2026-08-29/production-reference/ggp01-pressure-suit-body-profile-clearance-matrix-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-pressure-suit-body-profile-clearance-matrix-v1.production.json,/Game/Characters/Player/Suit/BodyProfiles,PR_GGP01_SuitBodyProfiles
GGP_Character_PressureSuit_Engineering_ReferenceV1,GGP.Character.PressureSuit.Engineering.ReferenceV1,GGP-01 Engineering Pressure Suit,character,technical-review,false,expanded,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,,0,3,docs/concept-art/2026-08-29/production-reference/ggp01-engineering-pressure-suit-production-reference-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-engineering-pressure-suit-production-reference-v1.production.json,/Game/Characters/Player/Suit/Roles/Engineering,PR_GGP01_Suit_Engineering
GGP_Character_PressureSuit_Medical_ReferenceV1,GGP.Character.PressureSuit.Medical.ReferenceV1,GGP-01 Medical Pressure Suit,character,technical-review,false,expanded,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,,0,3,docs/concept-art/2026-08-29/production-reference/ggp01-medical-pressure-suit-production-reference-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-medical-pressure-suit-production-reference-v1.production.json,/Game/Characters/Player/Suit/Roles/Medical,PR_GGP01_Suit_Medical
GGP_Character_PressureSuit_PerformanceRig_ReferenceV1,GGP.Character.PressureSuit.PerformanceRig.ReferenceV1,GGP-01 Pressure Suit Performance and Rig Mapping,character,technical-review,false,expanded,GGP.Character.PressureSuit.SharedSystem.ReferenceV1,GGP.Character.PressureSuit.PerformanceRig.ReferenceV2,0,4,docs/concept-art/2026-08-29/production-reference/ggp01-pressure-suit-performance-rig-mapping-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-pressure-suit-performance-rig-mapping-v1.production.json,/Game/Characters/Player/Suit/Production,GGP01_PressureSuit_PerformanceRig
GGP_Character_PressureSuit_PerformanceRig_ReferenceV2,GGP.Character.PressureSuit.PerformanceRig.ReferenceV2,GGP-01 Suit Traversal and Performance V2,character,technical-review,false,expanded,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,,0,4,docs/concept-art/2026-08-29/production-reference/ggp01-pressure-suit-traversal-performance-v2.png,docs/concept-art/2026-08-29/production-reference/ggp01-pressure-suit-traversal-performance-v2.production.json,/Game/Characters/Player/Suit/Production/Animation,PR_GGP01_SuitPerformance_V2
GGP_Character_PressureSuit_SalvageSpecialist_ReferenceV1,GGP.Character.PressureSuit.SalvageSpecialist.ReferenceV1,Pressure Suit Salvage Specialist,character,blocked,false,core,,,1,5,docs/concept-art/2026-08-28/production-reference/pressure-suit-salvage-specialist-v1.png,docs/concept-art/2026-08-28/production-reference/pressure-suit-salvage-specialist-v1.production.json,/Game/Characters/PlayerSuits/RoleModules/Salvage,PR_PressureSuit_SalvageSpecialist
GGP_Character_PressureSuit_Science_ReferenceV1,GGP.Character.PressureSuit.Science.ReferenceV1,GGP-01 Science Pressure Suit,character,technical-review,false,expanded,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,,0,3,docs/concept-art/2026-08-29/production-reference/ggp01-science-pressure-suit-production-reference-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-science-pressure-suit-production-reference-v1.production.json,/Game/Characters/Player/Suit/Roles/Science,PR_GGP01_Suit_Science
GGP_Character_PressureSuit_SecurityRecovery_ReferenceV1,GGP.Character.PressureSuit.SecurityRecovery.ReferenceV1,GGP-01 Security and Recovery Pressure Suit,character,technical-review,false,expanded,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,,0,3,docs/concept-art/2026-08-29/production-reference/ggp01-security-recovery-pressure-suit-production-reference-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-security-recovery-pressure-suit-production-reference-v1.production.json,/Game/Characters/Player/Suit/Roles/Security,PR_GGP01_Suit_SecurityRecovery
GGP_Character_PressureSuit_SharedSystem_ReferenceV1,GGP.Character.PressureSuit.SharedSystem.ReferenceV1,GGP-01 Shared Pressure Suit System,character,technical-review,false,core,,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,1,5,docs/concept-art/2026-08-29/production-reference/ggp01-shared-pressure-suit-system-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-shared-pressure-suit-system-v1.production.json,/Game/Characters/Player/Suit,PR_GGP01_SharedPressureSuit
GGP_Character_PressureSuit_SharedSystem_ReferenceV2,GGP.Character.PressureSuit.SharedSystem.ReferenceV2,GGP-01 Shared Pressure Suit System V2,character,technical-review,false,core,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp01-shared-pressure-suit-system-v2.png,docs/concept-art/2026-08-29/production-reference/ggp01-shared-pressure-suit-system-v2.production.json,/Game/Characters/Player/Suit/Production/V25,PR_GGP01_SharedPressureSuit_V2
GGP_Enemy_Bloom_AnimationVFX_ReferenceV1,GGP.Enemy.Bloom.AnimationVFX.ReferenceV1,"Bloom Threat Family Animation, VFX, and Intensity Mapping",enemy,technical-review,false,expanded,GGP.Enemy.Bloom.ThreatFamily.ReferenceV1,,0,4,docs/concept-art/2026-08-29/production-reference/bloom-threat-family-animation-vfx-mapping-v1.png,docs/concept-art/2026-08-29/production-reference/bloom-threat-family-animation-vfx-mapping-v1.production.json,/Game/Enemies/Bloom/Production,Bloom_ThreatFamily_AnimationVFX
GGP_Enemy_Bloom_MechanizedHost_Implementation_ReferenceV1,GGP.Enemy.Bloom.MechanizedHost.Implementation.ReferenceV1,Bloom Mechanized Host Implementation Mapping V1,enemy,technical-review,false,expanded,GGP.Enemy.Bloom.MechanizedHost.ReferenceV2,,2,6,docs/concept-art/2026-08-31/production-reference/bloom-mechanized-host-implementation-mapping-v1.png,docs/concept-art/2026-08-31/production-reference/bloom-mechanized-host-implementation-mapping-v1.production.json,/Game/Assets/Models/Bloom/MechanizedHost,PR_BloomMechanizedHost
GGP_Enemy_Bloom_MechanizedHost_ReferenceV1,GGP.Enemy.Bloom.MechanizedHost.ReferenceV1,Bloom Mechanized Host Production Reference,enemy,design-review,false,expanded,GGP.Enemy.Bloom.ThreatFamily.ReferenceV1,GGP.Enemy.Bloom.MechanizedHost.ReferenceV2,2,6,docs/concept-art/2026-08-31/production-reference/bloom-mechanized-host-production-reference-v1.png,docs/concept-art/2026-08-31/production-reference/bloom-mechanized-host-production-reference-v1.production.json,/Game/Assets/Models/Bloom/MechanizedHost,PR_BloomMechanizedHost
GGP_Enemy_Bloom_MechanizedHost_ReferenceV2,GGP.Enemy.Bloom.MechanizedHost.ReferenceV2,Bloom Mechanized Host Production System V2,enemy,design-review,false,core,GGP.Enemy.Bloom.ThreatFamily.ReferenceV1,,2,6,docs/concept-art/2026-08-31/production-reference/bloom-mechanized-host-production-system-v2.png,docs/concept-art/2026-08-31/production-reference/bloom-mechanized-host-production-system-v2.production.json,/Game/Assets/Models/Bloom/MechanizedHost,PR_BloomMechanizedHost
GGP_Enemy_Bloom_ThreatFamily_ReferenceV1,GGP.Enemy.Bloom.ThreatFamily.ReferenceV1,Bloom Threat Family Production System,enemy,technical-review,false,core,,,0,5,docs/concept-art/2026-08-29/production-reference/bloom-threat-family-production-system-v1.png,docs/concept-art/2026-08-29/production-reference/bloom-threat-family-production-system-v1.production.json,/Game/Assets/Models/Bloom/ThreatFamily,PR_BloomThreatFamily
GGP_Enemy_BloomReanimatedCrew_ReferenceV1,GGP.Enemy.BloomReanimatedCrew.ReferenceV1,Bloom Reanimated Crew Member,enemy,technical-review,false,core,,,0,4,docs/concept-art/2026-08-28/production-reference/bloom-reanimated-crew-v1.png,docs/concept-art/2026-08-28/production-reference/bloom-reanimated-crew-v1.production.json,/Game/Assets/Models/Bloom/ReanimatedCrew,PR_BloomReanimatedCrew
GGP_Environment_CommandObservationTechnicalRooms_ReferenceV1,GGP.Environment.CommandObservationTechnicalRooms.ReferenceV1,"GGP-01 Command, Observation, and Technical Rooms V1",environment-kit,technical-review,false,expanded,GGP.Environment.ModularInteriorRoomKit.ReferenceV1,,0,4,docs/concept-art/2026-08-29/production-reference/ggp01-command-observation-technical-rooms-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-command-observation-technical-rooms-v1.production.json,/Game/GGP01/Environment/Rooms/CommandTechnical,PR_GGP01_CommandRooms
GGP_Environment_Companionway_ModularKit_ReferenceV1,GGP.Environment.Companionway.ModularKit.ReferenceV1,GGP-01 Companionway Modular Kit,environment-kit,ready-for-graybox,false,core,,,0,5,docs/concept-art/2026-08-29/production-reference/ggp01-companionway-modular-kit-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-companionway-modular-kit-v1.production.json,/Game/Assets/Ships/Production/Companionway,PR_GGP01_Companionway
GGP_Environment_Companionway_SplineSocketRender_ReferenceV1,GGP.Environment.Companionway.SplineSocketRender.ReferenceV1,"GGP-01 Companionway Spline, Socket, and Render Mapping",environment-kit,technical-review,false,expanded,GGP.Environment.Companionway.ModularKit.ReferenceV1,,0,4,docs/concept-art/2026-08-29/production-reference/ggp01-companionway-spline-socket-render-mapping-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-companionway-spline-socket-render-mapping-v1.production.json,/Game/Environments/Ship/Companionway/Production,GGP01_Companionway
GGP_Environment_Corvette_CriticalSpaces_ReferenceV1,GGP.Environment.Corvette.CriticalSpaces.ReferenceV1,Military Corvette Critical Spaces Kit,environment-kit,blocked,false,core,,,1,5,docs/concept-art/2026-08-29/production-reference/military-corvette-critical-spaces-kit-v1.png,docs/concept-art/2026-08-29/production-reference/military-corvette-critical-spaces-kit-v1.production.json,/Game/Assets/Ships/Corvette/Interiors/CriticalSpaces,PR_Corvette_CriticalSpaces
GGP_Environment_CryoBay_ModularKit_ReferenceV1,GGP.Environment.CryoBay.ModularKit.ReferenceV1,Cryo Bay Modular Environment Kit,environment-kit,blocked,false,core,,,1,4,docs/concept-art/2026-08-28/production-reference/cryo-bay-modular-kit-v1.png,docs/concept-art/2026-08-28/production-reference/cryo-bay-modular-kit-v1.production.json,/Game/Assets/ShipRooms/Cryo,PR_CryoBay_ModularKit
GGP_Environment_Cryopod_UnitProduction_ReferenceV2,GGP.Environment.Cryopod.UnitProduction.ReferenceV2,GGP-01 Cryopod Unit Production System V2,interactive-prop,technical-review,false,expanded,,,0,5,docs/concept-art/2026-08-29/production-reference/ggp01-cryopod-unit-production-system-v2.png,docs/concept-art/2026-08-29/production-reference/ggp01-cryopod-unit-production-system-v2.production.json,/Game/Ship/Rooms/Cryo/Pod/Production/V2,PR_GGP01_CryoPod_V2
GGP_Environment_HabitatBerthingLifeSupportRooms_ReferenceV1,GGP.Environment.HabitatBerthingLifeSupportRooms.ReferenceV1,"GGP-01 Habitat, Berthing, and Life-Support Rooms V1",environment-kit,technical-review,false,expanded,GGP.Environment.ModularInteriorRoomKit.ReferenceV1,,0,3,docs/concept-art/2026-08-29/production-reference/ggp01-habitat-berthing-life-support-rooms-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-habitat-berthing-life-support-rooms-v1.production.json,/Game/GGP01/Environment/Rooms/Habitat,PR_GGP01_HabitatRooms
GGP_Environment_LocalOperationsCelestialPhenomena_ReferenceV1,GGP.Environment.LocalOperationsCelestialPhenomena.ReferenceV1,GGP Local Operations Celestial and Phenomena System V1,environment-kit,technical-review,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-local-operations-celestial-phenomena-system-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-local-operations-celestial-phenomena-system-v1.production.json,/Game/System/Celestial,PR_GGP_LocalOperationsCelestial
GGP_Environment_MedicalMorgueSuitBayRooms_ReferenceV1,GGP.Environment.MedicalMorgueSuitBayRooms.ReferenceV1,"GGP-01 Medical, Morgue, and Suit-Bay Rooms V1",environment-kit,technical-review,false,expanded,GGP.Environment.ModularInteriorRoomKit.ReferenceV1,,0,3,docs/concept-art/2026-08-29/production-reference/ggp01-medical-morgue-suit-bay-rooms-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-medical-morgue-suit-bay-rooms-v1.production.json,/Game/GGP01/Environment/Rooms/MedicalSuitBay,PR_GGP01_MedicalRooms
GGP_Environment_Pelagos_OrbitalArrival_ReferenceV1,GGP.Environment.Pelagos.OrbitalArrival.ReferenceV1,Pelagos Orbital Arrival Production System V1,environment-kit,technical-review,false,expanded,,,0,5,docs/concept-art/2026-08-29/production-reference/pelagos-orbital-arrival-production-system-v1.png,docs/concept-art/2026-08-29/production-reference/pelagos-orbital-arrival-production-system-v1.production.json,/Game/Assets/Maps/SpaceSystems,Pelagos_OrbitalArrival
GGP_Environment_Rooms_ModularMaster_ReferenceV1,GGP.Environment.Rooms.ModularMaster.ReferenceV1,GGP-01 Modular Interior Room Kit,environment-kit,ready-for-graybox,false,core,,,0,5,docs/concept-art/2026-08-29/production-reference/ggp01-modular-interior-room-kit-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-modular-interior-room-kit-v1.production.json,/Game/Assets/Ships/Production/Rooms/ModularMaster,PR_GGP01_ModularRooms
GGP_Environment_SecurityBrigDamageControlRooms_ReferenceV1,GGP.Environment.SecurityBrigDamageControlRooms.ReferenceV1,"GGP-01 Security, Brig, and Damage-Control Rooms V1",environment-kit,technical-review,false,expanded,GGP.Environment.ModularInteriorRoomKit.ReferenceV1,,0,4,docs/concept-art/2026-08-29/production-reference/ggp01-security-brig-damage-control-rooms-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-security-brig-damage-control-rooms-v1.production.json,/Game/GGP01/Environment/Rooms/SecurityDamageControl,PR_GGP01_SecurityRooms
GGP_Prop_HelmDestinationConsole_ReferenceV1,GGP.Prop.HelmDestinationConsole.ReferenceV1,Helm and Destination Console,interactive-prop,ready-for-graybox,false,core,,,0,5,docs/concept-art/2026-08-28/production-reference/helm-destination-console-v1.png,docs/concept-art/2026-08-28/production-reference/helm-destination-console-v1.production.json,/Game/Assets/Models/ShipSystems/HelmDestinationConsole,PR_HelmDestinationConsole
GGP_PropKit_EVASalvageTools_ReferenceV1,GGP.PropKit.EVASalvageTools.ReferenceV1,EVA Salvage Tool Kit,prop-kit,blocked,false,core,,,1,6,docs/concept-art/2026-08-28/production-reference/eva-salvage-tool-kit-v1.png,docs/concept-art/2026-08-28/production-reference/eva-salvage-tool-kit-v1.production.json,/Game/Assets/Models/Tools/EVASalvage,PR_EVASalvageToolKit
GGP_PropKit_SecuritySalvageXenoToolFamily51To80_ReferenceV1,GGP.PropKit.SecuritySalvageXenoToolFamily51To80.ReferenceV1,"GGP-01 Security, Salvage, and Xeno Tool Family 51-80",prop-kit,technical-review,false,expanded,,,0,5,docs/concept-art/2026-08-29/production-reference/ggp01-security-salvage-xeno-tool-family-51-80-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-security-salvage-xeno-tool-family-51-80-v1.production.json,/Game/Weapons/ShipboardTools/ConceptFamilies/51_80,PR_GGP01_Tools_51_80
GGP_PropKit_ShipboardToolDefenseFamily01To40_ReferenceV1,GGP.PropKit.ShipboardToolDefenseFamily01To40.ReferenceV1,GGP-01 Shipboard Tool and Defense Family 01-40,prop-kit,design-review,false,expanded,,,0,5,docs/concept-art/2026-08-29/production-reference/ggp01-shipboard-tool-defense-family-01-40-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-shipboard-tool-defense-family-01-40-v1.production.json,/Game/Weapons/ShipboardTools/ConceptFamilies/01_40,PR_GGP01_Tools_01_40
GGP_Robot_Uncorrupted_FamilySystem_ReferenceV1,GGP.Robot.Uncorrupted.FamilySystem.ReferenceV1,GGP-01 Uncorrupted Robot Family Production System,robot,technical-review,false,expanded,,,0,5,docs/concept-art/2026-08-29/production-reference/ggp01-uncorrupted-robot-family-production-system-v1.png,docs/concept-art/2026-08-29/production-reference/ggp01-uncorrupted-robot-family-production-system-v1.production.json,/Game/Robots/Uncorrupted/Production,GGP01_UncorruptedRobots
GGP_Ship_FleetExteriorClassLineage_ReferenceV1,GGP.Ship.FleetExteriorClassLineage.ReferenceV1,GGP Fleet Exterior Class and Lineage System V1,ship,technical-review,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-fleet-exterior-class-lineage-system-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-fleet-exterior-class-lineage-system-v1.production.json,/Game/GGP/Fleet,PR_GGP_FleetExterior
GGP_Ship_L01_ThrustTower_ReferenceV1,GGP.Ship.L01.ThrustTower.ReferenceV1,GGP-L01 Large Expedition Carrier Thrust-Tower Production Reference,ship,ready-for-graybox,false,expanded,,,0,4,docs/concept-art/2026-08-29/production-reference/ggp-l01-large-expedition-carrier-enlarged-room-traversal-splines-v1.png,docs/concept-art/2026-08-29/production-reference/ggp-l01-large-expedition-carrier-thrust-tower-production-v1.production.json,/Game/Assets/Ships/ThrustTower/L01,GGP_L01_LARGE_EXPEDITION_CARRIER
